epoch,phase,source_best_epoch,total_loss,data_loss,ode_loss,ic_loss,forcing_loss,smooth_loss,d_smooth_loss,weighted_data_loss,weighted_ode_loss,weighted_ic_loss,weighted_forcing_loss,weighted_smooth_loss,weighted_d_smooth_loss,train_R2,all_R2,test_R2,optimizer_loss_before_step,summary_train_R2,summary_RMSE,summary_MAE
1675,train,,0.015577943064272404,0.010824598371982574,94.65878295898438,0.00019108486594632268,0.012694638222455978,2.738938565016724e-05,9.54589486354962e-05,0.010824598371982574,0.004732938949018717,1.910848732222803e-05,1.269463837161311e-06,2.738938675861391e-08,4.772947037601227e-10,0.8710990673852401,0.8710990673852401,,0.01557300053536892,,,
1700,train,,0.01605723425745964,0.010869353078305721,103.37742614746094,0.00017594965174794197,0.013849921524524689,2.9834327506250702e-05,0.00010431080590933561,0.010869353078305721,0.005168871022760868,1.759496626618784e-05,1.3849921742803417e-06,2.9834328785227626e-08,5.215540221925608e-10,0.867813271184728,0.867813271184728,,0.015918005257844925,,,
1725,train,,0.015587881207466125,0.010831168852746487,94.67829132080078,0.00021102902246639132,0.016568709164857864,3.687011849251576e-05,9.556290751788765e-05,0.010831168852746487,0.0047339145094156265,2.1102901882841252e-05,1.6568708360864548e-06,3.687011940201046e-08,4.778145101802522e-10,0.8712309546847687,0.8712309546847687,,0.015640228986740112,,,
1750,train,,0.015561975538730621,0.010808942839503288,94.66529083251953,0.00017879820370581,0.01847548969089985,4.023940346087329e-05,9.561967453919351e-05,0.010808942839503288,0.004733264446258545,1.787982000678312e-05,1.847548901423579e-06,4.023940647357449e-08,4.780983386964976e-10,0.8712122533202757,0.8712122533202757,,0.015562055632472038,,,
1775,train,,0.015566813759505749,0.0109565993770957,91.82029724121094,0.00017225036572199315,0.019340381026268005,3.9913476939545944e-05,9.279140795115381e-05,0.0109565993770957,0.004591014701873064,1.7225036572199315e-05,1.934037982209702e-06,3.991348052068133e-08,4.639570394537884e-10,0.8714640335847837,0.8714640335847837,,0.015560377389192581,,,
1800,train,,0.01564737781882286,0.011202847585082054,88.38636016845703,0.00023056937789078802,0.02113967575132847,4.156497016083449e-05,8.935738878790289e-05,0.011202847585082054,0.004419317934662104,2.3056938516674563e-05,2.1139674117875984e-06,4.156497368512646e-08,4.467869407775993e-10,0.8698019915327464,0.8698019915327464,,0.015624698251485825,,,
1825,train,,0.015545270405709743,0.010830027051270008,93.89449310302734,0.00018132689001504332,0.023411467671394348,4.35110014223028e-05,9.499861334916204e-05,0.010830027051270008,0.004694724455475807,1.813268863770645e-05,2.3411466827383265e-06,4.3511004577112544e-08,4.749930448966211e-10,0.8713935765035092,0.8713935765035092,,0.015550067648291588,,,
1850,train,,0.016920125111937523,0.011870385147631168,100.54706573486328,0.00019861615146510303,0.02482457645237446,4.2985651816707104e-05,0.00010163639672100544,0.011870385147631168,0.005027353297919035,1.9861616237903945e-05,2.4824576030368917e-06,4.298565414728728e-08,5.081819964836143e-10,0.8651670681928489,0.8651670681928489,,0.01633862406015396,,,
1875,train,,0.015656502917408943,0.010962624102830887,93.29337310791016,0.00026737581356428564,0.024343490600585938,3.740364627446979e-05,9.443757880944759e-05,0.010962624102830887,0.004664668347686529,2.6737581720226444e-05,2.434348971291911e-06,3.7403648178724325e-08,4.721878998914519e-10,0.86956275654718,0.86956275654718,,0.01562059111893177,,,
1900,train,,0.015554169192910194,0.010898923501372337,92.67621612548828,0.0001883482764242217,0.025621844455599785,3.7200297811068594e-05,9.386303281644359e-05,0.010898923501372337,0.0046338108368217945,1.883482764242217e-05,2.5621843633416574e-06,3.720029795317714e-08,4.693151423040831e-10,0.8719248346941136,0.8719248346941136,,0.015550760552287102,,,
